#FamilyID	pvalue	Significant at 0.05
N0.HOG0001397	0.699	n
N0.HOG0001398	0	y
N0.HOG0001399	0.776	n
N0.HOG0001401	0.903	n
N0.HOG0001402	0.448	n
N0.HOG0001403	0.012	y
N0.HOG0001404	0.189	n
N0.HOG0001405	0.915	n
N0.HOG0001407	0.309	n
N0.HOG0001408	0.439	n
N0.HOG0001409	0.57	n
N0.HOG0001410	0.783	n
N0.HOG0001411	0.006	y
N0.HOG0001413	0.697	n
N0.HOG0001414	0.43	n
N0.HOG0001415	0.801	n
N0.HOG0001416	0.585	n
N0.HOG0001417	0.511	n
N0.HOG0001418	0.34	n
N0.HOG0001419	0	y
N0.HOG0001420	0.004	y
N0.HOG0001421	0.599	n
N0.HOG0001423	0.759	n
N0.HOG0001424	0.499	n
N0.HOG0001425	0.719	n
N0.HOG0001428	0.289	n
N0.HOG0001429	0	y
N0.HOG0001430	0.152	n
N0.HOG0001431	0.366	n
N0.HOG0001432	0.723	n
N0.HOG0001433	0.814	n
N0.HOG0001434	0.081	n
N0.HOG0001435	0.927	n
N0.HOG0001437	0.394	n
N0.HOG0001439	0.012	y
N0.HOG0001440	0.1	n
N0.HOG0001441	0.323	n
N0.HOG0001442	0.009	y
N0.HOG0001443	0.947	n
N0.HOG0001444	0.051	n
N0.HOG0001445	0.019	y
N0.HOG0001461	0.442	n
N0.HOG0001462	0.604	n
N0.HOG0001463	0.873	n
N0.HOG0001470	0.226	n
N0.HOG0001471	0.271	n
N0.HOG0001474	0.012	y
N0.HOG0001476	0.233	n
N0.HOG0001477	0.811	n
N0.HOG0001478	0.466	n
N0.HOG0001479	0.187	n
N0.HOG0001481	0.115	n
N0.HOG0001482	0.532	n
N0.HOG0001483	0.549	n
N0.HOG0001484	0.087	n
N0.HOG0001485	0.623	n
N0.HOG0001486	0.915	n
N0.HOG0001487	0.001	y
N0.HOG0001490	0.566	n
N0.HOG0001491	0.29	n
N0.HOG0001492	0.007	y
N0.HOG0001493	0.837	n
N0.HOG0001495	0.709	n
N0.HOG0001496	0.988	n
N0.HOG0001497	0.08	n
N0.HOG0001498	0.716	n
N0.HOG0001499	0.099	n
N0.HOG0001500	0.824	n
N0.HOG0001501	0.008	y
N0.HOG0001502	0	y
N0.HOG0001503	0.518	n
N0.HOG0001504	0	y
N0.HOG0001509	0.893	n
N0.HOG0001510	0.856	n
N0.HOG0001511	0.058	n
N0.HOG0001512	0.337	n
N0.HOG0001513	0.804	n
N0.HOG0001514	0.212	n
N0.HOG0001515	0.382	n
N0.HOG0001516	0.049	y
N0.HOG0001517	0.348	n
N0.HOG0001518	0.155	n
N0.HOG0001519	0.354	n
N0.HOG0001520	0.861	n
N0.HOG0001521	0.575	n
N0.HOG0001522	0.128	n
N0.HOG0001523	0.536	n
N0.HOG0001525	0.449	n
N0.HOG0001526	0.327	n
N0.HOG0001527	0.586	n
N0.HOG0001528	0.643	n
N0.HOG0001529	0.001	y
