#FamilyID	pvalue	Significant at 0.05
N0.HOG0001230	0.804	n
N0.HOG0001231	0.845	n
N0.HOG0001233	0.827	n
N0.HOG0001234	0.783	n
N0.HOG0001235	0.468	n
N0.HOG0001236	0.806	n
N0.HOG0001237	0.082	n
N0.HOG0001238	0.651	n
N0.HOG0001239	0.848	n
N0.HOG0001240	0.543	n
N0.HOG0001243	0.784	n
N0.HOG0001244	0.821	n
N0.HOG0001245	0.752	n
N0.HOG0001246	0.806	n
N0.HOG0001247	0.876	n
N0.HOG0001249	0	y
N0.HOG0001251	0.482	n
N0.HOG0001252	0.431	n
N0.HOG0001253	0.293	n
N0.HOG0001254	0.926	n
N0.HOG0001255	0.87	n
N0.HOG0001256	0.366	n
N0.HOG0001257	0.826	n
N0.HOG0001258	0.537	n
N0.HOG0001259	0.999	n
N0.HOG0001260	0.034	y
N0.HOG0001263	0.435	n
N0.HOG0001264	0.132	n
N0.HOG0001266	0.729	n
N0.HOG0001267	0.565	n
N0.HOG0001269	0.138	n
N0.HOG0001283	0.359	n
N0.HOG0001285	0.907	n
N0.HOG0001286	0.891	n
N0.HOG0001287	0.645	n
N0.HOG0001288	0.701	n
N0.HOG0001289	0.288	n
N0.HOG0001292	0.592	n
N0.HOG0001293	0.461	n
N0.HOG0001296	0.648	n
N0.HOG0001297	0.765	n
N0.HOG0001298	0.821	n
N0.HOG0001299	0.957	n
N0.HOG0001300	0.888	n
N0.HOG0001301	0.031	y
N0.HOG0001302	0.927	n
N0.HOG0001303	0.845	n
N0.HOG0001304	0.956	n
N0.HOG0001305	0.914	n
N0.HOG0001306	0.162	n
N0.HOG0001307	0.515	n
N0.HOG0001309	0.567	n
N0.HOG0001310	0.837	n
N0.HOG0001311	0.018	y
N0.HOG0001312	0.951	n
N0.HOG0001314	0.785	n
N0.HOG0001315	0.849	n
N0.HOG0001317	0.294	n
N0.HOG0001318	0.749	n
N0.HOG0001319	0.028	y
N0.HOG0001321	0	y
N0.HOG0001322	0.86	n
N0.HOG0001323	0.86	n
N0.HOG0001324	0.812	n
N0.HOG0001325	0.976	n
N0.HOG0001326	0.744	n
N0.HOG0001328	0.087	n
