OG	correlation_coeff	p-value	sig_after_multiple_testing
N0.HOG0006000	0.8231186002975568	0.001004946783874641	n
N0.HOG0000296	0.8671328671328673	0.00025981184986148103	y
N0.HOG0001752	0.08756580854229329	0.7866940142086327	n
N0.HOG0000215	-0.06293706293706294	0.8459309212287789	n
N0.HOG0000746	-0.1316934473779714	0.683288954948474	n
N0.HOG0012941	-0.11972127858467978	0.7109318595190937	n
N0.HOG0001280	0.3216783216783217	0.30790987618065263	n
N0.HOG0003749	0.1258741258741259	0.6966831093957659	n
N0.HOG0000023	0.14685314685314685	0.6487957097846664	n
N0.HOG0000376	-0.04105563823137269	0.899191365046892	n
N0.HOG0000268	0.1328671328671329	0.6805975082860818	n
N0.HOG0000075	0.31468531468531474	0.31913878550330455	n
N0.HOG0000087	0.25874125874125875	0.41677476889913834	n
N0.HOG0000119	0.21678321678321683	0.49855598552418856	n
N0.HOG0000713	0.11188811188811189	0.729194990751066	n
N0.HOG0000377	-0.06993006993006995	0.8290236405313092	n
N0.HOG0000135	0.7972027972027973	0.0019003677255282703	n
N0.HOG0000545	0.08450913782447984	0.7939959959092632	n
N0.HOG0001403	0.13380613488875975	0.6784466863299407	n
N0.HOG0000101	0.1690182756489597	0.599497869823576	n
N0.HOG0003311	0.09090909090909093	0.7787253962454419	n
N0.HOG0010775	-0.0640670825082023	0.8431946004212494	n
N0.HOG0000896	0.2447552447552448	0.4432619364501832	n
N0.HOG0000174	-0.2797202797202798	0.37856866966230307	n
N0.HOG0000471	0.1958041958041958	0.5419358857313175	n
N0.HOG0001504	0.29186115364847715	0.3573204374373701	n
N0.HOG0000808	-0.0979020979020979	0.762121655996299	n
N0.HOG0000284	0.5915639647713589	0.04275733150402945	n
N0.HOG0001838	0.4788851143387191	0.11523415616227106	n
N0.HOG0001529	-0.1258741258741259	0.6966831093957659	n
N0.HOG0001798	-0.36620626390607935	0.24169426770328267	n
N0.HOG0000991	-0.37828429290270704	0.2253267533928671	n
N0.HOG0000892	-0.30986683868975945	0.3270050102150108	n
N0.HOG0000599	0.11033775320857063	0.7328253667197191	n
N0.HOG0002260	-0.3950803421339142	0.20370154950273117	n
N0.HOG0000082	-0.47027367428663264	0.12287053954623404	n
N0.HOG0000628	-0.2447552447552448	0.4432619364501832	n
N0.HOG0000730	-0.21716320518488735	0.49778490192726343	n
N0.HOG0005520	-0.14685314685314685	0.6487957097846664	n
N0.HOG0001036	0.34080347839165753	0.27834367571270824	n
N0.HOG0000647	0.5664335664335665	0.054842119775407844	n
N0.HOG0001213	0.25874125874125875	0.41677476889913834	n
N0.HOG0000395	0.2537898243342131	0.42606072918826865	n
N0.HOG0012032	0.5174825174825175	0.08486877113393493	n
N0.HOG0000441	0.022393984489839647	0.9449266368228986	n
N0.HOG0001793	0.5384615384615385	0.07089431754922315	n
N0.HOG0002938	0.4798606308117672	0.11438935771004496	n
N0.HOG0000693	-0.1306315761907313	0.6857269144798043	n
N0.HOG0005613	0.12101560029327099	0.7079272414616193	n
N0.HOG0003126	-0.12316691469411807	0.7029416801621765	n
N0.HOG0000960	0.35664335664335667	0.25513775175895725	n
N0.HOG0000345	-0.4640728216397039	0.12856990475703262	n
N0.HOG0001028	0.3187395430939476	0.31260167621841195	n
N0.HOG0001191	-0.4265734265734266	0.16669998762494495	n
N0.HOG0000317	-0.08186349431603626	0.800328390032892	n
N0.HOG0000689	0.2253577008652796	0.4812874129466269	n
N0.HOG0000342	-0.32867132867132864	0.2969041156887641	n
N0.HOG0000020	-0.04195804195804196	0.8969858708195542	n
N0.HOG0003358	0.1225921319592106	0.7042726674352059	n
N0.HOG0000620	0.39860139860139865	0.19933549461780897	n
N0.HOG0000139	0.3426573426573427	0.27556745095678037	n
N0.HOG0000383	-0.2954204360100439	0.35121355720380765	n
N0.HOG0001094	0.17482517482517487	0.5868236643627043	n
N0.HOG0000904	0.2937062937062937	0.35414764123292175	n
N0.HOG0001592	0.3216783216783217	0.30790987618065263	n
