OG	correlation_coeff	p-value	sig_after_multiple_testing
N0.HOG0000340	0.2164751834017833	0.49918144736239667	n
N0.HOG0017274	-0.11972127858467978	0.7109318595190937	n
N0.HOG0001099	0.3844024950492138	0.21729649021825165	n
N0.HOG0000090	0.1258741258741259	0.6966831093957659	n
N0.HOG0014559	0.10677847084700383	0.741178844273399	n
N0.HOG0003120	0.22067550641714126	0.49068300396895215	n
N0.HOG0002489	0.2937062937062937	0.35414764123292175	n
N0.HOG0000653	-0.21678321678321683	0.49855598552418856	n
N0.HOG0000669	0.49650349650349657	0.10060263183225483	n
N0.HOG0000836	0.1126788504326398	0.7273453279440116	n
N0.HOG0003159	0.3450789794499594	0.2719649798075829	n
N0.HOG0000572	0.6293706293706295	0.02831967129576002	n
N0.HOG0000260	0.3426573426573427	0.27556745095678037	n
N0.HOG0001569	-0.5954474980875943	0.041074783467649034	n
N0.HOG0000394	0.29004551352481495	0.3604571272621032	n
N0.HOG0002165	0.21834391465156391	0.4953923823848684	n
N0.HOG0000016	0.09090909090909093	0.7787253962454419	n
N0.HOG0012076	-0.46234746910330854	0.13018583568230105	n
N0.HOG0000902	-0.17513161708458658	0.5861577321261827	n
N0.HOG0001379	0.7189750370364925	0.008413264231901082	n
N0.HOG0000894	0.29422111670210543	0.35326505938428154	n
N0.HOG0000071	0.17482517482517487	0.5868236643627043	n
N0.HOG0002197	-0.21678321678321683	0.49855598552418856	n
N0.HOG0000385	0.08701365405744448	0.788011888658888	n
N0.HOG0000522	-0.2687278138780758	0.39835564937250534	n
N0.HOG0000648	0.05800910270496299	0.8578817998209817	n
N0.HOG0000688	0.3450789794499594	0.2719649798075829	n
N0.HOG0000304	0.28721585201872196	0.3653744519387	n
N0.HOG0000680	0.3216783216783217	0.30790987618065263	n
N0.HOG0000112	0.6433566433566434	0.024003191200713644	n
N0.HOG0000554	0.18881118881118883	0.5567370561768314	n
N0.HOG0000854	0.08406317620060154	0.7950626235050116	n
N0.HOG0000756	0.1885295837911297	0.5573365380454538	n
N0.HOG0000121	-0.3216783216783217	0.30790987618065263	n
N0.HOG0000242	0.7412587412587414	0.005801150474478243	n
N0.HOG0001324	0.3132168478178779	0.3215249574768022	n
N0.HOG0000008	0.25379849088484935	0.42604438789552435	n
N0.HOG0000078	-0.6783216783216784	0.0153173290532817	n
N0.HOG0001501	0.027972027972027972	0.9312343512018808	n
N0.HOG0000161	-0.028021058733533853	0.9311140674192737	n
N0.HOG0000221	0.5104895104895105	0.08991373630263913	n
N0.HOG0000424	0.4278171324491021	0.16533295676407875	n
N0.HOG0001260	0.31690926684179943	0.31554360361640527	n
N0.HOG0000921	0.3993000869528574	0.19847601803143652	n
N0.HOG0000654	-0.2517482517482518	0.42991878503288405	n
N0.HOG0000786	0.04895104895104895	0.8799185788786749	n
N0.HOG0000915	0.5034965034965035	0.09515736659412469	n
N0.HOG0000316	0.06993006993006995	0.8290236405313092	n
N0.HOG0001928	0.07042428152039987	0.827831199192635	n
N0.HOG0011923	-0.05800910270496299	0.8578817998209817	n
N0.HOG0001973	-0.14816194208498978	0.6458461551589187	n
N0.HOG0000709	-0.1258741258741259	0.6966831093957659	n
N0.HOG0000468	0.17482517482517487	0.5868236643627043	n
N0.HOG0000862	0.2746546979295595	0.38762285059130586	n
N0.HOG0002740	0.1885295837911297	0.5573365380454538	n
N0.HOG0005786	-0.15384615384615385	0.6330906812462618	n
N0.HOG0012011	0.21834391465156391	0.4953923823848684	n
N0.HOG0000165	0.28873955423363945	0.36272223973310513	n
N0.HOG0001272	-0.1258741258741259	0.6966831093957659	n
N0.HOG0000409	0.6549079545282901	0.020815766877094483	n
N0.HOG0002614	0.46234746910330854	0.13018583568230105	n
